filename,width,height,class,xmin,ymin,xmax,ymax
2020-02-04 05_14_50.841606.jpg,800,600,botolplastik,299,141,488,465
2020-02-04 05_16_45.614994(1).jpg,800,600,botolplastik,313,27,552,420
2020-02-04 05_17_41.445032(1)(1).jpg,800,600,botolplastik,283,63,532,446
2020-02-04 05_17_56.430812.jpg,800,600,botolplastik,271,1,560,594
2020-02-04 05_18_36.343672.jpg,800,600,botolplastik,287,4,546,599
2020-02-04 05_19_14.290297.jpg,800,600,botolplastik,248,5,596,600
2020-02-04 05_20_28.429290.jpg,800,600,botolplastik,263,14,528,581
2020-02-04 05_21_15.867872.jpg,800,600,botolplastik,260,6,551,600
2020-02-04 05_32_23.191585.jpg,800,600,botolplastik,275,149,573,600
2020-02-04 05_32_40.484898.jpg,800,600,botolplastik,253,16,519,501
2020-02-04 05_33_01.187108.jpg,800,600,botolplastik,262,10,495,508
2020-02-04 05_33_20.180418.jpg,800,600,botolplastik,342,41,539,523
2020-02-04 05_54_38.715611.jpg,800,600,botolplastik,221,7,435,600
2020-02-04 05_56_32.433611.jpg,800,600,botolplastik,189,1,430,590
2020-02-04 05_57_18.349617.jpg,800,600,botolplastik,200,1,452,515
2020-02-04 05_58_39.016823.jpg,800,600,botolplastik,308,34,489,493
2021-06-16_Bambusa_1200x675_2.jpg,640,360,sedotan,309,37,406,285
20220514_180948.jpg,270,480,botolplastik,43,175,234,327
20220514_180954.jpg,270,480,botolplastik,97,191,178,261
20220514_181004.jpg,270,480,botolplastik,105,158,175,329
20220514_181036.jpg,270,480,botolplastik,153,169,198,278
20220514_181100.jpg,270,480,botolplastik,114,103,183,302
20220514_181114.jpg,270,480,botolplastik,83,94,172,335
20220514_181117.jpg,270,480,botolplastik,59,169,209,225
20220514_181139.jpg,270,480,botolplastik,99,159,164,306
20220514_181151.jpg,270,480,botolplastik,96,85,174,271
20220514_181153.jpg,270,480,botolplastik,89,103,163,292
20220514_181155.jpg,270,480,botolplastik,63,95,144,284
20220514_181230.jpg,270,480,botolplastik,128,145,204,384
20220514_181233.jpg,270,480,botolplastik,13,227,243,305
20220514_181241.jpg,270,480,botolplastik,45,195,247,259
20220514_181245.jpg,270,480,botolplastik,84,180,224,275
20220514_181247.jpg,270,480,botolplastik,109,125,223,239
20220514_181358.jpg,270,480,botolplastik,14,218,245,294
20220514_181400.jpg,270,480,botolplastik,152,132,234,316
20220514_181404.jpg,270,480,botolplastik,111,167,188,414
20220514_181409.jpg,270,480,botolplastik,105,92,156,245
20220514_181413.jpg,270,480,botolplastik,96,210,248,288
20220514_181415.jpg,270,480,botolplastik,39,214,237,279
20220514_181417.jpg,270,480,botolplastik,139,223,223,285
20220514_181447.jpg,270,480,botolplastik,59,59,159,332
20220514_181550.jpg,270,480,botolplastik,96,172,159,370
20220514_181554.jpg,270,480,botolplastik,34,240,253,348
20220514_181555.jpg,270,480,botolplastik,59,189,247,386
20220514_181556.jpg,270,480,botolplastik,86,143,262,354
20220514_181600.jpg,270,480,botolplastik,118,207,145,252
20220514_181601.jpg,270,480,botolplastik,105,175,146,235
20220514_181723.jpg,270,480,botolkaca,86,97,151,306
20220514_181732.jpg,270,480,botolkaca,13,234,262,294
20220514_181742.jpg,270,480,botolkaca,1,210,193,280
20220514_181746.jpg,270,480,botolkaca,17,189,224,256
20220514_181751.jpg,270,480,botolkaca,26,219,219,267
20220514_181756.jpg,270,480,botolkaca,53,199,192,248
20220514_181758.jpg,270,480,botolkaca,100,175,152,346
20220514_181800(0).jpg,270,480,botolkaca,112,167,163,318
20220514_181800.jpg,270,480,botolkaca,146,178,226,332
20220514_181801.jpg,270,480,botolkaca,103,170,145,324
20220514_181806.jpg,270,480,botolkaca,192,142,264,368
20220514_181807.jpg,270,480,botolkaca,135,180,219,405
20220514_181810.jpg,270,480,botolkaca,155,197,229,418
20220514_181814.jpg,270,480,botolkaca,56,186,256,271
20220514_181815.jpg,270,480,botolkaca,26,258,232,348
20220514_181828.jpg,270,480,botolkaca,89,110,147,313
20220514_181831.jpg,270,480,botolkaca,87,168,153,373
20220514_181834.jpg,270,480,botolkaca,54,139,237,375
20220514_181838.jpg,270,480,botolkaca,95,197,171,355
20220514_181845.jpg,270,480,botolkaca,28,229,240,302
20220514_181917.jpg,270,480,botolkaca,95,94,166,405
20220514_181919.jpg,270,480,botolkaca,81,117,229,473
20220514_181921.jpg,270,480,botolkaca,42,170,270,239
20220514_181925.jpg,270,480,botolkaca,25,118,224,389
20220514_181928.jpg,270,480,botolkaca,100,24,181,383
20220514_181930.jpg,270,480,botolkaca,70,96,155,424
20220514_181935.jpg,270,480,botolkaca,59,212,210,268
20220514_181937.jpg,270,480,botolkaca,105,192,159,361
20220514_181941.jpg,270,480,botolkaca,24,244,220,291
20220514_181950.jpg,270,480,botolkaca,89,92,144,287
20220514_181954.jpg,270,480,botolkaca,78,135,193,280
20220514_182031.jpg,270,480,botolkaca,86,129,149,337
20220514_182032.jpg,270,480,botolkaca,98,105,159,326
20220514_182037.jpg,270,480,botolkaca,146,148,224,372
20220514_182040.jpg,270,480,botolkaca,30,98,200,158
20220514_182043.jpg,270,480,botolkaca,1,165,212,480
20220514_182053.jpg,270,480,botolkaca,48,97,157,301
20220514_182055.jpg,270,480,botolkaca,28,218,270,362
20220514_182056.jpg,270,480,botolkaca,11,124,171,369
20220514_182059.jpg,270,480,botolkaca,116,99,200,309
20220514_182103.jpg,270,480,botolkaca,31,207,270,278
20220514_182108.jpg,270,480,botolkaca,50,124,199,402
20220514_182112.jpg,270,480,botolkaca,66,118,151,426
20220514_183315.jpg,270,480,botolplastik,87,123,178,149
20220514_183320.jpg,270,480,botolplastik,151,132,183,240
20220514_183322.jpg,270,480,botolplastik,130,133,150,189
20220514_183324.jpg,270,480,botolplastik,113,141,162,262
20220514_183328.jpg,270,480,botolplastik,54,176,168,218
20220514_183409.jpg,270,480,botolplastik,138,216,158,267
20220514_183427.jpg,270,480,botolplastik,95,186,192,370
20220514_183438.jpg,270,480,botolplastik,31,228,183,393
20220514_183438.jpg,270,480,kardus,228,114,270,234
20220514_183440.jpg,270,480,botolplastik,39,170,185,246
20220514_183444.jpg,270,480,botolplastik,100,139,159,168
20220514_183445.jpg,270,480,botolplastik,97,179,153,206
20220514_183448.jpg,270,480,botolplastik,89,177,151,213
20220514_183450.jpg,270,480,botolplastik,106,220,202,262
20220514_183451.jpg,270,480,botolplastik,67,214,156,252
20220514_183453(0).jpg,270,480,botolplastik,100,219,144,279
20220514_183453.jpg,270,480,botolplastik,86,215,137,277
20220514_183511.jpg,270,480,botolplastik,30,189,158,241
20220514_183515.jpg,270,480,botolplastik,101,217,153,316
20220514_183517.jpg,270,480,botolplastik,69,160,221,257
20220514_183518(0).jpg,270,480,botolplastik,71,195,215,286
20220514_183518.jpg,270,480,botolplastik,47,189,192,274
20220514_183526.jpg,270,480,botolplastik,146,183,201,295
20220514_183527.jpg,270,480,botolplastik,54,205,187,270
20220514_183532.jpg,270,480,botolplastik,145,206,165,237
20220514_183533.jpg,270,480,botolplastik,146,242,174,291
20220514_183534.jpg,270,480,botolplastik,120,216,170,279
20220514_183546.jpg,270,480,botolplastik,131,144,188,309
20220514_183549.jpg,270,480,botolplastik,13,172,170,255
20220514_183550.jpg,270,480,botolplastik,51,183,210,245
20220514_183615.jpg,270,480,botolplastik,120,222,196,392
20220514_183616.jpg,270,480,botolplastik,102,208,227,250
20220514_183617.jpg,270,480,botolplastik,106,189,222,297
20220514_183619.jpg,270,480,botolplastik,2,245,156,290
20220514_183621.jpg,270,480,botolplastik,116,99,270,153
20220514_183622.jpg,270,480,botolplastik,43,32,221,124
20220514_183623.jpg,270,480,botolplastik,86,120,264,177
20220514_183624(0).jpg,270,480,botolplastik,110,29,193,248
20220514_183625(0).jpg,270,480,botolplastik,66,154,204,272
20220514_183625.jpg,270,480,botolplastik,46,62,229,230
20220514_183634.jpg,270,480,botolplastik,35,199,160,251
20220514_183648(0).jpg,270,480,botolplastik,66,196,181,308
20220514_183648.jpg,270,480,botolplastik,75,181,193,291
20220514_183649(0).jpg,270,480,botolplastik,68,175,183,272
20220514_183649.jpg,270,480,botolplastik,73,165,196,275
20220514_183652.jpg,270,480,botolplastik,37,210,200,283
20220514_183653.jpg,270,480,botolplastik,58,213,215,276
20220514_183714.jpg,270,480,botolplastik,135,176,182,299
20220514_183740.jpg,270,480,botolplastik,12,231,53,312
20220514_183740.jpg,270,480,botolplastik,48,221,100,294
20220514_184000.jpg,270,480,botolkaca,7,186,237,244
20220514_184032(0).jpg,270,480,botolkaca,82,90,154,337
20220514_184032.jpg,270,480,botolkaca,71,133,131,325
20220514_184205.jpg,270,480,plastik,83,132,193,243
20220514_184207.jpg,270,480,plastik,78,90,221,246
20220514_184209.jpg,270,480,plastik,182,267,270,392
20220514_184210.jpg,270,480,plastik,89,156,164,199
20220514_184213.jpg,270,480,plastik,128,164,270,272
20220514_184213.jpg,270,480,plastik,20,211,183,335
20220514_184215.jpg,270,480,plastik,26,209,208,318
20220514_184215.jpg,270,480,plastik,1,275,108,397
20220514_184215.jpg,270,480,plastik,140,16,240,118
20220514_184218(0).jpg,270,480,plastik,172,18,266,112
20220514_184218(0).jpg,270,480,plastik,7,191,235,381
20220514_184218.jpg,270,480,plastik,2,156,221,388
20220514_184218.jpg,270,480,plastik,138,1,254,57
20220514_184220.jpg,270,480,plastik,1,197,246,337
20220514_184221.jpg,270,480,plastik,31,117,266,340
20220514_184226.jpg,270,480,plastik,10,167,98,272
20220514_184226.jpg,270,480,plastik,95,259,152,329
20220514_184226.jpg,270,480,plastik,180,315,256,411
20220514_184226.jpg,270,480,plastik,150,391,221,471
20220514_184226.jpg,270,480,plastik,51,10,176,153
20220514_184231.jpg,270,480,plastik,63,183,194,305
20220514_184232.jpg,270,480,plastik,56,136,191,282
20220514_184235.jpg,270,480,plastik,51,82,217,277
20220514_184236.jpg,270,480,plastik,30,224,191,320
20220514_184237(0).jpg,270,480,plastik,1,128,197,300
20220514_184237.jpg,270,480,plastik,1,52,121,214
20220514_184238(0).jpg,270,480,plastik,67,176,231,259
20220514_184238.jpg,270,480,plastik,1,177,173,279
20220514_184239.jpg,270,480,plastik,84,175,231,251
20220514_184241(0).jpg,270,480,plastik,38,215,210,330
20220514_184241.jpg,270,480,plastik,33,178,202,384
20220514_184242(0).jpg,270,480,plastik,1,186,153,374
20220514_184242.jpg,270,480,plastik,15,131,130,343
20220514_184243.jpg,270,480,plastik,5,133,209,348
20220514_184244(0).jpg,270,480,plastik,1,179,146,322
20220514_184244.jpg,270,480,plastik,29,187,208,394
20220514_184245(0).jpg,270,480,plastik,51,190,183,397
20220514_184245.jpg,270,480,plastik,1,187,157,348
20220514_184246(0).jpg,270,480,plastik,1,191,219,451
20220514_184246.jpg,270,480,plastik,45,213,238,399
20220514_184247(0).jpg,270,480,plastik,1,174,156,480
20220514_184247.jpg,270,480,plastik,1,157,182,453
20220514_184248.jpg,270,480,plastik,1,260,227,462
20220514_184249(0).jpg,270,480,plastik,3,123,133,343
20220514_184251.jpg,270,480,plastik,12,205,193,405
20220514_184252(0).jpg,270,480,plastik,22,175,260,431
20220514_184253(0).jpg,270,480,plastik,8,94,213,406
20220514_184253.jpg,270,480,plastik,1,253,200,475
20220514_184254(0).jpg,270,480,plastik,8,111,187,309
20220514_184254.jpg,270,480,plastik,28,132,206,353
20220514_184255.jpg,270,480,plastik,1,155,178,301
20220514_184256.jpg,270,480,plastik,75,248,214,356
20220514_184258.jpg,270,480,plastik,121,183,183,247
20220514_184259.jpg,270,480,plastik,97,209,156,259
20220514_184303.jpg,270,480,plastik,75,234,170,310
20220514_184304.jpg,270,480,plastik,68,210,156,280
20220514_184305.jpg,270,480,plastik,92,241,161,286
20220514_184319.jpg,270,480,plastik,1,155,121,289
20220514_184320(0).jpg,270,480,plastik,59,213,163,287
20220514_184320.jpg,270,480,plastik,56,156,161,283
20220514_184322(0).jpg,270,480,plastik,107,205,151,234
20220514_184322.jpg,270,480,plastik,127,186,173,210
20220514_184323.jpg,270,480,plastik,109,186,146,205
20220514_184324.jpg,270,480,plastik,124,181,152,200
20220514_184325.jpg,270,480,plastik,167,151,208,170
20220514_184326.jpg,270,480,plastik,135,183,174,211
20220514_184327(0).jpg,270,480,plastik,110,240,154,286
20220514_184327.jpg,270,480,plastik,99,204,141,232
20220514_184331(0).jpg,270,480,plastik,1,190,167,345
20220514_184331(0).jpg,270,480,plastik,189,99,205,143
20220514_184331(0).jpg,270,480,plastik,206,98,228,153
20220514_184331.jpg,270,480,plastik,29,153,216,248
20220514_184331.jpg,270,480,plastik,129,18,145,67
20220514_184331.jpg,270,480,plastik,149,10,175,75
20220514_184333.jpg,270,480,plastik,5,183,151,343
20220514_184334.jpg,270,480,plastik,154,164,177,225
20220514_184334.jpg,270,480,plastik,179,167,205,237
20220514_184335(0).jpg,270,480,plastik,113,143,141,216
20220514_184335(0).jpg,270,480,plastik,144,147,175,214
20220514_184335.jpg,270,480,plastik,89,169,112,234
20220514_184335.jpg,270,480,plastik,119,170,146,241
20220514_184336(0).jpg,270,480,plastik,16,180,246,309
20220514_184336.jpg,270,480,plastik,3,202,194,386
20220514_184347.jpg,270,480,plastik,61,90,139,186
20220514_184347.jpg,270,480,plastik,127,199,183,252
20220514_184347.jpg,270,480,plastik,140,291,250,405
20220514_184347.jpg,270,480,plastik,10,407,120,480
20220514_184347.jpg,270,480,plastik,233,124,270,189
20220514_184347.jpg,270,480,kardus,179,86,270,231
20220514_184347.jpg,270,480,plastik,19,238,53,272
20220514_184348.jpg,270,480,plastik,49,166,150,241
20220514_184348.jpg,270,480,plastik,8,299,103,396
20220514_184348.jpg,270,480,plastik,110,407,162,464
20220514_184348.jpg,270,480,plastik,192,431,254,474
20220514_184348.jpg,270,480,plastik,201,311,244,356
20220514_184349(0).jpg,270,480,plastik,32,221,161,322
20220514_184349(0).jpg,270,480,plastik,61,383,191,480
20220514_184353.jpg,270,480,plastik,27,151,214,317
20220514_184354(0).jpg,270,480,plastik,10,243,170,394
20220514_184354.jpg,270,480,plastik,1,116,131,277
20220514_184355(0).jpg,270,480,plastik,14,180,175,381
20220514_184356(0).jpg,270,480,plastik,1,156,166,373
20220514_184356.jpg,270,480,plastik,1,174,192,389
20220514_184358(0).jpg,270,480,plastik,13,105,225,340
20220514_184358.jpg,270,480,plastik,1,111,200,369
20220514_184359(0).jpg,270,480,plastik,27,175,200,365
20220514_184400(0).jpg,270,480,plastik,11,99,175,276
20220514_184400.jpg,270,480,plastik,1,88,190,302
20220514_184401.jpg,270,480,plastik,2,143,183,356
20220514_184402.jpg,270,480,plastik,1,201,136,426
20220514_184403.jpg,270,480,plastik,33,116,184,302
20220514_184404.jpg,270,480,plastik,8,175,190,365
20220514_184408(0).jpg,270,480,plastik,127,194,184,244
20220514_184408.jpg,270,480,plastik,153,199,219,260
20220514_184409.jpg,270,480,plastik,168,163,217,207
20220514_184410(0).jpg,270,480,plastik,140,278,178,316
20220514_184410.jpg,270,480,plastik,187,213,232,251
20220514_184412.jpg,270,480,plastik,126,183,183,231
20220514_184413(0).jpg,270,480,plastik,132,210,208,276
20220514_184413.jpg,270,480,plastik,97,206,157,260
20220514_184414.jpg,270,480,plastik,132,109,237,188
20220514_184416.jpg,270,480,plastik,112,190,175,256
20220514_184417.jpg,270,480,plastik,84,189,146,267
20220514_184423.jpg,270,480,plastik,32,140,205,297
20220514_184424(0).jpg,270,480,plastik,45,116,205,277
20220514_184424.jpg,270,480,plastik,5,186,191,348
20220514_184425(0).jpg,270,480,plastik,24,176,211,315
20220514_184425.jpg,270,480,plastik,33,156,245,292
20220514_184501.jpg,270,480,plastik,132,146,192,199
20220514_184502(0).jpg,270,480,plastik,86,170,167,249
20220514_184503.jpg,270,480,plastik,98,170,183,242
20220514_185216.jpg,270,480,kertas,56,82,251,292
20220514_185217.jpg,270,480,kertas,24,56,211,246
20220514_185226(0).jpg,270,480,kertas,90,189,194,275
20220514_185226.jpg,270,480,kertas,100,199,206,287
20220514_185227.jpg,270,480,kertas,89,185,186,271
20220514_185228.jpg,270,480,kertas,102,183,186,244
20220514_185230.jpg,270,480,kertas,99,148,167,191
20220514_185231.jpg,270,480,kertas,70,141,132,180
20220514_185232.jpg,270,480,kertas,63,151,140,201
20220514_185233.jpg,270,480,kertas,63,169,151,247
20220514_185242.jpg,270,480,kertas,70,168,202,272
20220514_185243(0).jpg,270,480,kertas,88,166,201,244
20220514_185243.jpg,270,480,kertas,81,182,205,281
20220514_185244.jpg,270,480,kertas,78,209,189,278
20220514_185245(0).jpg,270,480,kertas,61,214,157,277
20220514_185245(1).jpg,270,480,kertas,70,225,168,289
20220514_185245.jpg,270,480,kertas,105,228,202,288
20220514_185247(0).jpg,270,480,kertas,100,220,208,290
20220514_185247.jpg,270,480,kertas,125,216,230,287
20220514_185249.jpg,270,480,kertas,124,189,225,296
20220514_185258.jpg,270,480,kertas,28,154,242,245
20220514_185259.jpg,270,480,kertas,45,145,197,203
20220514_185300.jpg,270,480,kertas,56,135,190,184
20220514_185301(0).jpg,270,480,kertas,21,168,219,238
20220514_185301(1).jpg,270,480,kertas,13,187,216,256
20220514_185301.jpg,270,480,kertas,48,143,201,185
20220514_185306(0).jpg,270,480,kertas,58,166,218,222
20220514_185306(1).jpg,270,480,kertas,91,167,205,220
20220514_185306.jpg,270,480,kertas,29,148,214,219
20220514_185308(0).jpg,270,480,kertas,8,113,217,247
20220514_185308.jpg,270,480,kertas,25,102,208,205
20220514_185309.jpg,270,480,kertas,2,130,246,310
20220514_185354(0).jpg,270,480,kertas,74,155,156,259
20220514_185354.jpg,270,480,kertas,107,146,173,234
20220514_185355.jpg,270,480,kertas,94,137,216,301
20220514_185406(0).jpg,270,480,kertas,8,178,211,318
20220514_185406.jpg,270,480,kertas,1,178,185,356
20220514_185448.jpg,270,480,kertas,92,237,165,339
20220514_185454.jpg,270,480,kertas,143,137,181,171
20220514_185512.jpg,270,480,kertas,98,177,124,199
20220514_185513(0).jpg,270,480,kertas,95,224,140,259
20220514_185513.jpg,270,480,kertas,123,198,166,235
20220514_185514(0).jpg,270,480,kertas,111,209,182,273
20220514_185514.jpg,270,480,kertas,83,202,153,270
20220514_185521(0).jpg,270,480,kertas,113,174,153,212
20220514_185521(0).jpg,270,480,plastik,92,204,196,267
20220514_185523.jpg,270,480,kertas,135,169,157,190
20220514_185523.jpg,270,480,plastik,110,192,195,227
20220514_185525.jpg,270,480,kertas,110,175,144,208
20220514_185525.jpg,270,480,plastik,89,207,181,262
20220517_165600.jpg,360,480,botolplastik,119,62,226,396
20220517_165607.jpg,360,480,botolplastik,127,90,233,441
20220517_165613.jpg,360,480,botolplastik,130,126,252,404
20220517_165636.jpg,360,480,botolplastik,115,88,230,459
20220517_165916.jpg,360,480,botolplastik,134,85,233,443
20220517_165920.jpg,360,480,botolplastik,147,69,272,471
20220517_165926.jpg,640,480,botolplastik,19,182,583,333
20220517_165947.jpg,360,480,botolplastik,123,42,239,440
20220517_165954.jpg,360,480,botolplastik,144,26,288,473
20220517_170033.jpg,360,480,botolplastik,131,53,284,344
20220517_170046.jpg,640,480,botolplastik,77,124,544,302
20220517_170058.jpg,640,480,botolplastik,80,135,610,302
20220517_170150.jpg,360,480,botolplastik,127,5,260,429
20220517_170158.jpg,360,480,botolplastik,93,38,206,368
20220517_170236.jpg,360,480,botolplastik,105,49,223,428
20220517_170238.jpg,360,480,botolplastik,135,36,262,409
20220517_170244.jpg,360,480,botolplastik,136,29,261,396
20220517_170249.jpg,360,480,botolplastik,131,81,238,436
20220517_170254.jpg,360,480,botolplastik,118,99,240,355
20220517_170301.jpg,360,480,botolplastik,125,136,223,421
20220517_170304.jpg,360,480,botolplastik,113,86,244,427
20220517_170307.jpg,360,480,botolplastik,103,111,213,415
20220517_170311.jpg,360,480,botolplastik,94,70,209,328
20220517_170322.jpg,360,480,botolplastik,113,40,219,391
20220517_170348.jpg,360,480,botolplastik,131,75,229,330
20220517_170350.jpg,360,480,botolplastik,124,103,216,350
20220517_170353.jpg,360,480,botolplastik,129,130,218,382
20220517_170357.jpg,360,480,botolplastik,110,133,207,404
20220517_170401.jpg,360,480,botolplastik,102,124,210,410
20220517_170406.jpg,360,480,botolplastik,107,108,229,422
20220517_170417.jpg,360,480,botolplastik,105,105,221,450
20220517_170425.jpg,360,480,botolplastik,118,40,231,410
20220517_170533.jpg,360,480,kertas,30,54,302,433
20220517_170535.jpg,360,480,kertas,28,123,287,437
20220517_170539.jpg,360,480,kertas,52,65,292,443
20220517_170540.jpg,640,480,kertas,94,119,516,368
20220517_170547.jpg,640,480,kertas,44,75,453,372
20220517_170551.jpg,640,480,kertas,97,77,515,406
